World Rank	Institution	Location	National Rank	Quality of Education	Alumni Employment	Quality of Faculty	Publications	Influence	Citations	Broad Impact	Patents	Score
776	University of Salzburg	Austria	11	378+	293	235+	928	753	818+	807	856	44.45
777	Miguel Hernández University of Elche	Spain	29	378+	594+	235+	763	626	818+	706	584	44.45
778	University of Calabria	Italy	43	378+	594+	235+	576	820	436	733	674	44.45
779	Yamagata University	Japan	52	378+	594+	235+	790	750	818+	706	600	44.44
780	Åbo Akademi University	Finland	9	378+	594+	235+	786	690	541	706	745	44.44
781	National Polytechnic Institute	Mexico	2	347	594+	235+	595	584	436	733	719	44.44
782	University of Caen Normandy	France	38	218	594+	235+	633	775	818+	733	821	44.44
783	University of Electronic Science and Technology of China	China	48	378+	342	235+	507	897	664	820	611	44.44
784	Northeastern University (China)	China	49	378+	268	235+	745	978	818+	860	611	44.44
785	Saitama Medical University	Japan	53	378+	594+	235+	991	602	664	706	536	44.44
786	University of Stirling	United Kingdom	58	378+	361	235+	760	722	664	759	883	44.44
787	Kangwon National University	South Korea	23	378+	594+	235+	696	728	436	776	370	44.44
788	Jiangnan University	China	50	378+	594+	235+	724	922	818+	719	633	44.43
789	University of Hyogo	Japan	54	378+	594+	235+	858	483	436	719	841	44.43
790	Jikei University School of Medicine	Japan	55	378+	594+	235+	972	731	664	706	841	44.43
791	University of Hohenheim	Germany	51	378+	594+	235+	768	655	541	719	802	44.43
792	University of Memphis	USA	206	378+	345	235+	787	761	664	790	516	44.43
793	Taipei Medical University	Taiwan	12	378+	594+	235+	482	884	818+	759	790	44.43
794	Howard University	USA	207	195	594+	235+	946	673	664	759	447	44.43
795	Norwegian University of Life Sciences	Norway	5	378+	594+	235+	746	577	664	719	802	44.43
796	Toho University	Japan	56	378+	594+	197	844	836	818+	733	856	44.42
797	Maynooth University	Ireland	7	260	594+	235+	998	646	541	750	507	44.42
798	Chung-Ang University	South Korea	24	378+	481	235+	611	834	436	878	273	44.42
799	University of Concepción	Chile	3	378+	594+	235+	734	485	818+	750	558	44.42
800	Tottori University	Japan	57	378+	352	235+	927	738	541	832	403	44.41
801	Dongguk University	South Korea	25	378+	314	235+	923	916	664	995	194	44.41
802	University of Bradford	United Kingdom	59	378+	252	235+	892	770	818+	925	523	44.41
803	Yeungnam University	South Korea	26	378+	349	235+	742	987	818+	878	332	44.41
804	University of Maribor	Slovenia	2	378+	594+	235+	895	835	541	733	802	44.41
805	Bowling Green State University	USA	208	378+	373	235+	933	699	818+	776	745	44.41
806	University of Brighton	United Kingdom	60	378+	594+	235+	839	833	818+	733	704	44.41
807	Nanjing University of Science and Technology	China	51	378+	360	235+	739	953	541	807	674	44.41
808	Chiang Mai University	Thailand	3	378+	570	235+	834	762	436	750	883	44.41
809	Aberystwyth University	United Kingdom	61	378+	535	235+	833	576	541	750	674	44.41
810	Magna Græcia University of Catanzaro	Italy	44	378+	594+	235+	935	872	818+	733	790	44.41
811	University of Sassari	Italy	45	378+	594+	235+	752	615	818+	750	821	44.41
812	Huazhong Agricultural University	China	52	378+	594+	235+	616	535	664	776	558	44.40
813	Boğaziçi University	Turkey	7	378+	450	235+	818	748	436	776	883	44.40
814	University of Regina	Canada	26	378+	594+	235+	861	692	436	759	644	44.40
815	Northwest University (China)	China	53	378+	594+	235+	866	803	324	776	883	44.40
816	Nanjing Medical University	China	54	378+	594+	235+	527	638	818+	790	821	44.40
817	University of Alcalá	Spain	30	378+	594+	235+	726	639	664	759	690	44.40
818	University of Murcia	Spain	31	378+	594+	235+	543	729	541	807	536	44.40
819	AGH University of Science and Technology	Poland	4	278	299	235+	704	868	664	902	558	44.40
820	Tehran University of Medical Sciences	Iran	3	378+	594+	235+	729	867	818+	759	883	44.39
821	Mie University	Japan	58	378+	594+	235+	849	854	664	776	456	44.39
822	Nanjing Agricultural University	China	55	378+	594+	235+	578	723	664	790	674	44.39
823	Northern Arizona University	USA	209	378+	565	235+	917	468	664	759	674	44.39
824	Hefei University of Technology	China	56	378+	283	235+	842	987	818+	902	912+	44.39
825	Wright State University	USA	210	378+	594+	235+	829	782	818+	759	821	44.39
826	All India Institute of Medical Sciences, New Delhi	India	13	378+	594+	235+	891	846	664	759	745	44.39
827	University of Veterinary Medicine Vienna	Austria	12	378+	594+	235+	851	649	436	776	659	44.39
828	Bilkent University	Turkey	8	378+	499	235+	776	795	818+	776	912+	44.39
829	Chungbuk National University	South Korea	27	378+	594+	235+	765	876	818+	807	412	44.39
830	University of Orléans	France	39	378+	545	235+	751	493	664	776	883	44.39
831	Ocean University of China	China	57	378+	594+	235+	624	752	818+	790	625	44.39
832	Putra University, Malaysia	Malaysia	3	378+	594+	235+	841	938	818+	980	190	44.38
833	University of Massachusetts Boston	USA	211	378+	458	235+	837	701	541	790	821	44.38
834	Nanjing University of Aeronautics and Astronautics	China	58	378+	519	235+	665	967	818+	790	856	44.38
835	Murdoch University	Australia	23	378+	502	235+	814	517	541	790	633	44.38
836	University of Perpignan Via Domitia	France	40	167	594+	235+	986	609	436	832	912+	44.38
837	Jean Monnet University	France	41	378+	594+	235+	625	472	818+	807	674	44.37
838	University of Oldenburg	Germany	52	378+	594+	235+	725	559	664	790	763	44.37
839	University of Angers	France	42	378+	594+	235+	836	790	818+	790	558	44.37
840	Showa University	Japan	59	378+	594+	235+	977	773	818+	776	763	44.37
841	Kōchi University	Japan	60	378+	594+	235+	958	783	664	790	523	44.37
842	Inje University	South Korea	28	378+	594+	235+	823	885	818+	832	378	44.37
843	University of Rouen	France	43	374	594+	235+	712	709	818+	807	558	44.37
844	Isfahan University of Technology	Iran	4	378+	594+	235+	672	895	380	820	912+	44.37
845	University of the Republic (Uruguay)	Uruguay	1	378+	591	235+	804	605	818+	790	883	44.37
846	Makerere University	Uganda	1	378+	594+	235+	830	642	664	790	912+	44.37
847	University of Electro-Communications	Japan	61	169	594+	235+	894	803	664	907	326	44.37
848	Western Sydney University	Australia	24	378+	594+	235+	600	522	818+	820	704	44.37
849	University of Siegen	Germany	53	378+	555	235+	867	776	436	807	763	44.36
850	Budapest University of Technology and Economics	Hungary	5	265	594+	235+	749	786	664	820	644	44.36
851	University of Extremadura	Spain	32	378+	594+	235+	778	968	818+	807	745	44.36
852	Brock University	Canada	27	378+	594+	235+	887	726	541	807	690	44.36
853	Fourth Military Medical University	China	59	378+	594+	235+	588	645	664	832	719	44.36
854	Sofia University	Bulgaria	1	270	594+	235+	830	792	541	820	912+	44.35
855	Southwest University	China	60	289	594+	235+	639	897	664	832	745	44.35
856	University of Valladolid	Spain	33	378+	477	235+	691	857	818+	846	507	44.35
857	Gazi University	Turkey	9	378+	507	235+	772	935	664	820	912+	44.35
858	University of Miyazaki	Japan	62	307	594+	235+	987	746	664	832	437	44.35
859	University of New England (Australia)	Australia	25	378+	273	235+	921	696	664	959	802	44.35
860	Nanjing Normal University	China	61	378+	438	235+	720	737	664	846	690	44.35
861	Shanghai Normal University	China	62	378+	486	235+	904	953	818+	820	912+	44.35
862	University of South Alabama	USA	212	378+	594+	235+	980	742	664	820	536	44.35
863	Royal Veterinary College, University of London	United Kingdom	62	261	594+	235+	917	531	541	832	633	44.35
864	Florida Atlantic University	USA	213	378+	594+	235+	874	734	818+	832	482	44.34
865	University of Seoul	South Korea	29	378+	594+	235+	970	881	541	878	356	44.34
866	Sejong University	South Korea	30	378+	594+	235+	800	861	818+	832	536	44.34
867	University of Osnabrück	Germany	54	378+	594+	235+	850	633	664	820	841	44.34
868	University of Wales, Trinity Saint David	United Kingdom	63	378+	594+	235+	1000	943	436	820	912+	44.34
869	RMIT University	Australia	26	378+	528	235+	667	916	818+	846	633	44.34
870	China University of Geosciences (Wuhan)	China	63	378+	511	235+	902	707	541	832	802	44.34
871	Manchester Metropolitan University	United Kingdom	64	378+	399	235+	948	680	664	860	790	44.34
872	Dankook University	South Korea	31	378+	594+	235+	862	962	664	887	356	44.33
873	Fukuoka University	Japan	63	378+	594+	235+	975	911	818+	846	453	44.33
874	Ritsumeikan University	Japan	64	378+	324	235+	906	869	541	945	456	44.33
875	Hamamatsu University School of Medicine	Japan	65	378+	594+	235+	990	897	664	860	420	44.33
876	Hunter College	USA	214	276	464	235+	832	592	818+	860	802	44.33
877	University of Pécs	Hungary	6	378+	594+	235+	949	827	818+	832	633	44.33
878	Nanjing University of Technology	China	64	378+	594+	235+	738	987	818+	887	391	44.33
879	Federal University of Santa Catarina	Brazil	9	378+	594+	235+	602	925	818+	860	790	44.33
880	University of Southern Mississippi	USA	215	378+	594+	235+	938	832	818+	832	719	44.33
881	University of Mannheim	Germany	55	378+	542	235+	912	901	436	846	856	44.33
882	University of New Brunswick	Canada	28	378+	404	235+	770	785	664	887	633	44.33
883	Jinan University	China	65	378+	323	235+	735	830	818+	945	745	44.32
884	Trent University	Canada	29	378+	489	235+	919	777	436	860	821	44.32
885	National Chung Cheng University	Taiwan	13	378+	594+	235+	808	995+	664	846	912+	44.32
886	Ulsan National Institute of Science and Technology	South Korea	32	378+	594+	235+	809	880	664	878	440	44.32
887	Clarkson University	USA	216	378+	380	235+	959	978	818+	887	763	44.32
888	Nicolaus Copernicus University in Toruń	Poland	5	378+	594+	235+	869	781	664	846	802	44.32
889	Quaid-i-Azam University	Pakistan	1	378+	594+	235+	944	924	541	846	912+	44.32
890	University of Wrocław	Poland	6	367	594+	235+	719	814	664	860	821	44.32
891	China University of Geosciences (Beijing)	China	66	378+	594+	235+	909	711	818+	846	841	44.32
892	University of North Dakota	USA	217	378+	547	235+	916	732	818+	860	536	44.32
893	South China Normal University	China	67	378+	473	235+	654	911	664	887	790	44.32
894	University of Cyprus	Cyprus	1	378+	594+	235+	811	864	541	860	856	44.32
895	Federico Santa María Technical University	Chile	4	378+	594+	235+	956	936	268	907	674	44.32
896	Tarbiat Modares University	Iran	5	378+	594+	235+	759	987	818+	860	912+	44.32
897	Saitama University	Japan	66	170	393	235+	983	672	664	959	482	44.31
898	University of the Ryukyus	Japan	67	378+	594+	235+	932	706	818+	860	592	44.31
899	University of Western Brittany	France	44	378+	594+	235+	888	708	664	860	674	44.31
900	Chung Yuan Christian University	Taiwan	14	259	309	235+	785	972	818+	980	912+	44.31
901	The Catholic University of America	USA	218	378+	441	235+	978	619	541	887	690	44.31
902	Charles Darwin University	Australia	27	378+	594+	235+	867	693	664	860	912+	44.31
903	University of Cádiz	Spain	34	378+	594+	235+	875	838	818+	945	291	44.31
904	University of Basilicata	Italy	46	378+	594+	235+	955	871	541	860	883	44.31
905	University of Lleida	Spain	35	378+	594+	235+	889	865	818+	860	745	44.31
906	Shimane University	Japan	68	378+	594+	235+	968	756	664	860	763	44.31
907	University of California, Merced	USA	219	378+	594+	235+	878	510	818+	878	576	44.31
908	Harbin Engineering University	China	68	378+	594+	235+	936	972	664	860	856	44.31
909	University of Wuppertal	Germany	56	378+	594+	235+	965	858	664	860	763	44.31
910	Wilfrid Laurier University	Canada	30	378+	296	235+	954	930	818+	980	912+	44.31
911	Fluminense Federal University	Brazil	10	378+	340	235+	793	902	818+	945	912+	44.30
912	Third Military Medical University	China	69	378+	594+	235+	701	740	664	887	690	44.30
913	University of Brasília	Brazil	11	378+	413	235+	791	685	664	907	856	44.30
914	Federal University of ABC	Brazil	12	378+	594+	235+	903	886	541	878	912+	44.30
915	University of Massachusetts Lowell	USA	220	378+	505	235+	928	953	380	980	295	44.30
916	Amirkabir University of Technology	Iran	6	378+	594+	235+	690	972	664	887	912+	44.30
917	National Taiwan University of Science and Technology	Taiwan	15	378+	594+	235+	594	951	818+	902	856	44.30
918	Nagoya Institute of Technology	Japan	69	378+	530	235+	847	920	818+	959	303	44.30
919	University of Thessaly	Greece	7	378+	594+	235+	853	987	818+	878	912+	44.30
920	Yangzhou University	China	70	378+	594+	235+	864	877	818+	878	912+	44.30
921	Jadavpur University	India	14	378+	538	235+	821	995+	541	887	821	44.30
922	Adam Mickiewicz University in Poznań	Poland	7	151	594+	235+	670	852	818+	969	745	44.30
923	University of Jaén	Spain	36	378+	594+	235+	922	881	541	887	600	44.30
924	University of Central Lancashire	United Kingdom	65	378+	515	235+	925	671	664	887	763	44.29
925	University of Puerto Rico at Mayagüez	Puerto Rico	1	378+	594+	235+	993	763	436	887	912+	44.29
926	Federal University of Paraná	Brazil	13	378+	482	235+	674	831	818+	907	763	44.29
927	Shahid Beheshti University of Medical Sciences	Iran	7	378+	594+	235+	860	891	818+	887	912+	44.29
928	Queens College, City University of New York	USA	221	337	374	235+	982	718	818+	934	704	44.29
929	Northwestern Polytechnical University	China	71	378+	334	235+	563	949	818+	992	856	44.29
930	Oakland University	USA	222	378+	594+	235+	898	793	818+	887	883	44.29
931	University of Calcutta	India	15	150	333	227	941	915	818+	999	584	44.29
932	Kyoto Institute of Technology	Japan	70	378+	594+	235+	996	908	818+	959	321	44.29
933	Teikyo University	Japan	71	378+	594+	235+	962	780	818+	887	802	44.29
934	National Taiwan Normal University	Taiwan	16	378+	501	235+	730	894	818+	907	912+	44.28
935	University of Waikato	New Zealand	6	378+	451	235+	949	916	664	925	547	44.28
936	Pukyong National University	South Korea	33	378+	594+	235+	941	972	818+	925	425	44.28
937	United Arab Emirates University	United Arab Emirates	1	378+	544	235+	995	873	818+	902	644	44.28
938	Southern Medical University	China	72	378+	594+	235+	718	758	818+	907	735	44.28
939	Gachon University	South Korea	34	378+	594+	235+	857	844	818+	907	523	44.28
940	University of Lethbridge	Canada	31	378+	594+	235+	979	746	541	902	856	44.28
941	National University of Córdoba	Argentina	3	378+	594+	235+	723	733	818+	907	912+	44.28
942	Beijing University of Posts and Telecommunications	China	73	378+	301	235+	969	978	818+	998	429	44.28
943	Shiraz University	Iran	8	378+	594+	235+	882	972	541	907	912+	44.27
944	Tianjin Medical University	China	74	378+	594+	235+	821	840	818+	907	802	44.27
945	Hallym University	South Korea	35	378+	594+	235+	858	931	818+	907	690	44.27
946	University of North Carolina at Greensboro	USA	223	378+	594+	235+	897	847	818+	907	659	44.27
947	Carlos III University of Madrid	Spain	37	378+	594+	235+	663	943	664	945	471	44.27
948	Federal University of São Carlos	Brazil	14	378+	594+	235+	735	910	818+	925	674	44.27
949	National Taiwan Ocean University	Taiwan	17	378+	444	235+	820	951	818+	934	912+	44.27
950	University of Almería	Spain	38	378+	594+	235+	967	978	664	907	659	44.27
951	University of Hyderabad	India	16	378+	594+	235+	882	929	818+	907	883	44.27
952	Xiangtan University	China	75	378+	445	235+	846	949	818+	934	802	44.27
953	China Medical University (PRC)	China	76	378+	594+	235+	761	704	664	925	912+	44.27
954	Dokuz Eylül University	Turkey	10	378+	594+	235+	949	960	818+	907	912+	44.27
955	Jiangsu University	China	77	378+	578	235+	747	902	818+	945	471	44.27
956	Zhejiang University of Technology	China	78	378+	594+	235+	819	995+	818+	925	704	44.26
957	École centrale de Lyon	France	45	378+	304	235+	877	845	818+	995	690	44.26
958	Hirosaki University	Japan	72	378+	487	235+	980	821	664	934	584	44.26
959	Novosibirsk State University	Russia	5	173	594+	235+	754	736	664	980	912+	44.26
960	Ain Shams University	Egypt	2	378+	594+	235+	900	805	436	934	912+	44.26
961	Hunan Normal University	China	79	378+	594+	235+	914	888	818+	925	912+	44.26
962	Federal University of Bahia	Brazil	15	378+	576	235+	956	875	818+	925	841	44.26
963	Wrocław University of Technology	Poland	8	378+	408	235+	798	943	664	969	802	44.26
964	National University of Colombia	Colombia	2	378+	341	235+	863	660	818+	992	745	44.26
965	Chosun University	South Korea	36	378+	594+	235+	947	978	818+	994	281	44.26
966	Federal University of Pernambuco	Brazil	16	378+	575	235+	755	889	818+	945	558	44.26
967	University of Texas at El Paso	USA	224	378+	466	235+	905	853	818+	945	633	44.26
968	Ryerson University	Canada	32	378+	594+	235+	774	968	436	945	802	44.26
969	University of Silesia	Poland	9	378+	594+	235+	885	879	541	934	912+	44.25
970	Federal University of Santa Maria	Brazil	17	378+	396	235+	934	978	818+	969	912+	44.25
971	Beijing University of Technology	China	80	378+	594+	235+	770	963	818+	945	625	44.25
972	University of Limerick	Ireland	8	378+	503	235+	871	877	664	969	447	44.25
973	University of Camerino	Italy	47	378+	594+	235+	920	806	818+	934	802	44.25
974	University of Pau and Pays de l'Adour	France	46	378+	594+	235+	970	995+	818+	934	704	44.25
975	Ca' Foscari University of Venice	Italy	48	378+	594+	235+	966	791	664	934	912+	44.25
976	Yuan Ze University	Taiwan	18	378+	594+	235+	953	987	818+	934	912+	44.25
977	University of Bucharest	Romania	1	238	594+	235+	865	815	664	959	912+	44.25
978	Xidian University	China	81	378+	566	235+	740	978	818+	959	611	44.25
979	University of Fukui	Japan	73	378+	594+	235+	973	796	818+	945	625	44.24
980	Babeș-Bolyai University	Romania	2	378+	594+	235+	879	870	664	945	912+	44.24
981	Public University of Navarre	Spain	39	378+	594+	235+	974	839	818+	945	674	44.24
982	Qingdao University	China	82	378+	594+	235+	964	978	664	945	856	44.24
983	King Juan Carlos University	Spain	40	378+	594+	235+	855	927	818+	959	719	44.23
984	Ibaraki University	Japan	74	378+	594+	235+	999	491	664	959	674	44.23
985	Mansoura University	Egypt	3	378+	594+	235+	960	968	541	959	912+	44.23
986	Chung Shan Medical University	Taiwan	19	378+	594+	235+	744	960	664	969	912+	44.23
987	Shenzhen University	China	83	378+	409	235+	873	769	541	995	429	44.23
988	Henan Normal University	China	84	378+	594+	235+	945	995+	818+	959	912+	44.23
989	Harbin Medical University	China	85	378+	594+	235+	779	874	818+	969	912+	44.23
990	Feng Chia University	Taiwan	20	378+	423	235+	940	995+	818+	989	856	44.23
991	University of Reims Champagne-Ardenne	France	47	378+	560	235+	930	889	541	980	536	44.23
992	University of A Coruña	Spain	41	378+	594+	235+	826	919	818+	969	745	44.23
993	South China Agricultural University	China	86	378+	579	235+	854	824	818+	969	912+	44.23
994	Zhejiang Normal University	China	87	378+	594+	235+	848	943	818+	969	912+	44.22
995	Alexandria University	Egypt	4	244	592	235+	960	921	818+	980	912+	44.22
996	University of Valenciennes and Hainaut-Cambresis	France	48	378+	594+	235+	906	963	664	969	841	44.22
997	Fu Jen Catholic University	Taiwan	21	378+	469	235+	994	941	818+	980	883	44.22
998	Chongqing Medical University	China	88	378+	594+	235+	910	925	818+	969	856	44.22
999	Northwest A&F University	China	89	378+	594+	235+	648	816	818+	989	883	44.22
1000	China Pharmaceutical University	China	90	378+	594+	235+	816	968	818+	980	625	44.22

