Text Changed,Title & Definition,Cross References,CIP Code,Action,Moved To/Report Under,Moved From
"","Communication Studies/Speech Communication and Rhetoric. A program that focuses on the scientific, humanistic, and critical study of human communication in a variety of formats, media, and contexts.  Includes instruction in the theory and practice of interpersonal, group, organizational, professional, and intercultural communication; speaking and listening; verbal and nonverbal interaction; rhetorical theory and criticism; performance studies; argumentation and persuasion; technologically mediated communication; popular culture; and various contextual applications.","",="09.0101","No substantive changes","",""
"","Communication, General. A program that focuses on the comprehensive study of communication, and that spans the study of  mass communication/media studies, old and new media technologies, social and political applications, and speech communication and rhetoric. Includes instruction in interpersonal, group, organizational, and intercultural communication; theories of communication; critical thinking, argumentation, and persuasion; written communication; printed, electronic, and digital media; rhetorical tradition and criticism; media, society, and culture; consequences and effects of mass media; media social science and criticism; and quantitative and qualitative methods of inquiry.","",="09.0100","New","",""
"","Communication, Journalism, and Related Programs, Other. Instructional content is defined in code 09.9999.","",="09.99","No substantive changes","",""
"","Communication, Journalism, and Related Programs, Other. Any instructional program in communication, journalism, and related fields not listed above.","",="09.9999","No substantive changes","",""
"","COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS. Instructional programs that focus on how messages in various media are produced, used, and interpreted within and across different contexts, channels, and cultures, and that prepare individuals to apply communication knowledge and skills professionally.","",="09","No substantive changes","",""
"","Communications Systems Installation and Repair Technology. A program that prepares individuals to apply technical knowledge and skills to assemble, install, operate, maintain, and repair one- and two- way communications equipment and systems, including television cable systems and mobile or stationary communication devices.  Includes instruction in diagnostic techniques, the use of testing equipment and the principles of mechanics, electricity, and electronics as they relate to the repair of communications systems.","",="47.0103","No substantive changes","",""
"","Communications Technologies/Technicians and Support Services, Other. Instructional content is defined in code 10.9999.","",="10.99","No substantive changes","",""
"","Communications Technologies/Technicians and Support Services, Other. Any instructional program in communications technologies and support services not listed above.","",="10.9999","No substantive changes","",""
"","COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES. Instructional programs that prepare individuals to function as equipment operators, support technicians, and operations managers in the film/video, recording, and graphic communications industries.","",="10","No substantive changes","",""
"","Communications Technology/Technician. Instructional content is defined in code 10.0105.","",="10.01","No substantive changes","",""
"","Communications Technology/Technician. A program that generally prepares individuals to function as workers and managers within communications industries.  Includes instruction in business economics; basic management; principles of interpersonal and mediated communications; radio, television, and digital media production; and related aspects of technology and communications systems.","",="10.0105","No substantive changes","",""
"","Community Awareness. A program that focuses on local government and history, current issues, and focuses on how individuals can keep abreast of important issues that may affect them. This CIP code is not valid for IPEDS reporting.","",="33.0103","No substantive changes","",""
"","Community College Education. A program that focuses on the principles and techniques of administering community and junior colleges and related postsecondary systems, the study of community and junior colleges as objects of applied research, and that may prepare individuals to function as administrators in such settings.  Includes instruction in community and junior college finance; policy and planning studies; curriculum; faculty and labor relations; higher education law; student services; research on community and junior colleges; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy.","",="13.0407","No substantive changes","",""
"","Community Health and Preventive Medicine. A program that prepares public health specialists to plan and manage health services in local community settings, including the coordination of related support services, government agencies, and private resources.  Includes instruction in public health, community health services and delivery, health behavior and cultural factors, local government operations, human services, health communication and promotion, health services administration in local settings, environmental health, preventive and comparative medicine, epidemiology, biostatistics, family and community health, and applicable law and regulations.","",="51.2208","No substantive changes","",""
"","Community Health Services/Liaison/Counseling. A program that prepares individuals to serve as facilitators, advocates, and referral professionals linking health care and related social services with affected recipient communities.  Includes instruction in public and community health, human and social services, health services administration, group counseling, health education, group advocacy, cross-cultural and multilingual communication, and applicable laws and policies.","",="51.1504","No substantive changes","",""
"","Community Involvement. A program that focuses on how individuals may become actively involved in the social, economic and political issues and events affecting them; and the roles and methods that are available to influence community life and public policy. This CIP code is not valid for IPEDS reporting.","",="33.0104","No substantive changes","",""
"","Community Organization and Advocacy. Instructional content is defined in code 44.0201.","",="44.02","No substantive changes","",""
"","Community Organization and Advocacy. A program that focuses on the theories, principles, and practice of providing services to communities, organizing communities and neighborhoods for social action, serving as community liaisons to public agencies, and using community resources to furnish information, instruction, and assistance to all members of a community.  May prepare individuals to apply such knowledge and skills in community service positions.","",="44.0201","No substantive changes","",""
"","Community Psychology. A program that prepares individuals to apply psychological principles to the analysis of social problems, and the implementation of intervention strategies for addressing these problems.  Includes instruction in social ecology, primary and secondary prevention of social pathologies, social intervention strategies and tactics, large group counseling, social services systems behavior, creating settings, cultural stress, and the dynamics of social change.","",="42.0401","Moved from","",""
"","Community Psychology.","",="42.04","Deleted","",""
"","Community Psychology. A program that prepares individuals to apply psychological principles to the analysis of social problems, and the implementation of intervention strategies for addressing these problems.  Includes instruction in social ecology, primary and secondary prevention of social pathologies, social intervention strategies and tactics, large group counseling, social services systems behavior, creating settings, cultural stress, and the dynamics of social change.","",="42.2802","Moved to","",""
"","Comparative and Laboratory Animal Medicine (Cert., MS, PhD) A program that focuses on the scientific study of animal models of human disease and related experimental procedures, and prepares veterinarians and animal health specialists to manage the laboratory use and care of experimental animals.  Includes instruction in laboratory animal husbandry, laboratory animal disease, biohazard control, gnotobiology, breeding, comparative anatomy and physiology, comparative gene mapping, protein function, physical and mathematical modeling, computer modeling, stem cell technology, colony and genetic stock management, cryopreservation, applicable regulations, and bioethics.","",="51.2509","No substantive changes","",""
"","Comparative Law (LL.M., M.C.L., J.S.D./S.J.D.) An advanced, professional study of legal systems and philosophies in comparative perspective.","",="22.0206","No substantive changes","",""
"","Comparative Literature. A program that focuses on two or more literary traditions in the original languages or in translation.  Includes instruction in comparative linguistics; applicable foreign languages; English/French language and literature; literary criticism; and applications to genre, period, national, and textual studies as well as literary forms such as poetry, prose, and drama.","",="16.0104","No substantive changes","",""
"","Comparative Psychology.","",="42.05","Deleted","",""
"","Comparative Psychology. A program that focuses on the behavior of members of particular species or groups and the relationship of the behaviors of the species or group to their evolutionary origins.  Includes instruction in differential psychology, experimental and physiological psychology, psychopharmacology, psychology of individual differences, reinforcement theory, and neurophysiology.","",="42.2702","Moved to","",""
"","Comparative Psychology. A program that focuses on the behavior of members of particular species or groups and the relationship of the behaviors of the species or group to their evolutionary origins.  Includes instruction in differential psychology, experimental and physiological psychology, psychopharmacology, psychology of individual differences, reinforcement theory, and neurophysiology.","",="42.0501","Moved from","",""
"","Computational and Applied Mathematics. A program that focuses on the application of a broad range of mathematical and computational methods to modeling, analysis, algorithm development, and simulation for the solution of complex scientific and engineering problems. Includes instruction in numerical analysis, discrete mathematics, operations research, optimization, differential equations, statistics, scientific computation, and applications to specific scientific and industrial topics.","",="27.0304","New","",""
"","Computational Biology. A program that focuses on computational theoretical approaches to understanding biological systems, including computational models of biological processes, computational management of large-scale projects, database development and data-algorithm development, and high-performance computing, as well as statistical and mathematical analyses.","",="26.1104","New","",""
"","Computational Mathematics. A program that focuses on the application of mathematics to the theory, architecture, and design of computers, computational techniques, and algorithms.  Includes instruction in computer theory,  cybernetics, numerical analysis, algorithm development, binary structures, combinatorics, advanced statistics, and related topics.","",="27.0303","No substantive changes","",""
"","Computational Science. Instructional content is defined in code 30.3001.","",="30.30","New","",""
"","Computational Science. A program that focuses on the study of scientific computing and its application.  Includes instruction in scientific visualization, multi-scale analysis, grid generation, data analysis, applied mathematics, numerical algorithms, high performance parallel computing, and numerical modeling and simulation with applications in science, engineering and other disciplines in which computation plays an integral role.","",="30.3001","New","",""
"","Computer and Information Sciences and Support Services, Other. Instructional content is defined in code 11.9999.","",="11.99","No substantive changes","",""
"","Computer and Information Sciences and Support Services, Other. Any instructional program in computer and information sciences and support services not listed above.","",="11.9999","No substantive changes","",""
"","COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES. Instructional programs that focus on the computer and information sciences and prepare individuals for various occupations in information technology and computer operations fields.","",="11","No substantive changes","",""
"","Computer and Information Sciences,  Other. Any instructional program in computer science not listed above.","",="11.0199","No substantive changes","",""
"","Computer and Information Sciences, General . Instructional content for this group of programs is defined in codes 11.0101 - 11.0199.","",="11.01","No substantive changes","",""
"","Computer and Information Sciences, General. A general program that focuses on computing, computer science, and information science and systems. Such programs are undifferentiated as to title and content and are not to be confused with specific programs in computer science, information science, or related support services.","",="11.0101","No substantive changes","",""
"","Computer and Information Systems Security. A program that prepares individuals to assess the security needs of computer and network systems, recommend safeguard solutions, and manage the implementation and maintenance of security devices, systems, and procedures.  Includes instruction in computer architecture, programming, and systems analysis; networking; telecommunications; cryptography; security system design; applicable law and regulations; risk assessment and policy analysis; contingency planning; user access issues; investigation techniques; and troubleshooting.","",="11.1003","No substantive changes","",""
"","Computer Engineering Technologies/Technicians, Other. Any instructional program in computer engineering technologies not listed above.","",="15.1299","No substantive changes","",""
"","Computer Engineering Technologies/Technicians. Instructional content for this group of programs is defined in codes 15.1201 - 15.1299.","",="15.12","No substantive changes","",""
"","Computer Engineering Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills in support of computer engineers engaged in designing and developing computer systems and installations.  Includes instruction in computer electronics and programming, prototype development and testing, systems installation and testing, solid state and microminiature circuitry, peripheral equipment, and report preparation.","",="15.1201","No substantive changes","",""
"","Computer Engineering, General. Instructional content for this group of programs is defined in codes 14.0901 - 14.0999.","",="14.09","No substantive changes","",""
"","Computer Engineering, General. A program that generally prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of computer hardware and software systems and related equipment and facilities; and the analysis of specific problems of computer applications to various tasks.","",="14.0901","No substantive changes","",""
"","Computer Engineering, Other. Any instructional program in computer engineering not listed above.","",="14.0999","No substantive changes","",""
"","Computer Games and Programming Skills. A program that focuses on the knowledge and skills associated with creating and maintaining computer programs, as well as playing computer-based games. This CIP code is not valid for IPEDS reporting.","",="36.0113","No substantive changes","",""
"","Computer Graphics. A program that focuses on the software, hardware, and mathematical tools used to represent, display, and manipulate topological, two-, and three-dimensional objects on a computer screen and that prepares individuals to function as computer graphics specialists.  Includes instruction in graphics software and systems; digital multimedia; graphic design; graphics devices, processors, and standards; attributes and transformations; projections; surface identification and rendering; color theory and application; and applicable geometry and algorithms.","",="11.0803","No substantive changes","",""
"","Computer Hardware Engineering. A program that prepares individuals to apply mathematical and scientific principles to the design, development, and evaluation of computer hardware and related peripheral equipment.  Includes instruction in computer circuit and chip design, circuitry, computer systems design, computer equipment design, computer layout planning, testing procedures, and related computer theory and software topics.","",="14.0902","No substantive changes","",""
"","Computer Hardware Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills to support engineers in designing computer hardware and peripheral systems.  Includes instruction in computer systems design, computer architecture, computer electronics, processors, peripherals, testing equipment, and computer manufacturing processes.","",="15.1203","No substantive changes","",""
"","Computer Installation and Repair Technology/Technician. A program that prepares individuals to apply technical knowledge and skills to assemble, install, operate, maintain, and repair computers and related instruments.  Includes instruction in power supplies, number systems, memory structure, buffers and registers, microprocessor design, peripheral equipment, programming, and networking.","",="47.0104","No substantive changes","",""
"","Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist. A program that prepares individuals to apply technical knowledge and skills to operate computer numerically controlled (CNC) machine tools, such as lathes, mills, precision measuring tools, and related attachments and accessories, to perform machining functions, such as cutting, drilling, shaping, and finishing products and component parts. Includes instruction in CNC terminology, setup, programming, operations, and troubleshooting; blueprint reading; machining; lathe and mill operations; technical mathematics; computer literacy; CAD/CAM systems; shop and safety practices; equipment capabilities; and regulations and laws.","",="48.0510","New","",""
"","Computer Programming, Other. Any instructional program in computer programming not listed above.","",="11.0299","No substantive changes","",""
"","Computer Programming, Specific Applications. A program that prepares individuals to apply the knowledge and skills of general computer programming to the solution of specific operational problems and customization requirements presented by individual software users and organizational users.  Includes training in specific types of software and its installation and maintenance.","",="11.0202","No substantive changes","",""
"","Computer Programming, Vendor/Product Certification. A program that prepares individuals to fulfill the requirements set by vendors for professional qualification as certified installation, customization, and maintenance engineers for specific software products and/or processes.  Includes training in specific vendor-supported software products and their installation and maintenance.","",="11.0203","No substantive changes","",""
"","Computer Programming. Instructional content for this group of programs is defined in codes 11.0201 - 11.0299.","",="11.02","No substantive changes","",""
"","Computer Programming/Programmer, General. A program that focuses on the general writing and implementation of generic and customized programs to drive operating systems and that generally prepares individuals to apply the methods and procedures of software design and programming  to software installation and maintenance.  Includes instruction in software design, low- and high-level languages and program writing; program customization and linking; prototype testing; troubleshooting; and related aspects of operating systems and networks.","",="11.0201","No substantive changes","",""
"","Computer Science. Instructional content is defined in code 11.0701.","",="11.07","No substantive changes","",""
"","Computer Science. A program that focuses on computer theory, computing problems and solutions, and the design of computer systems and user interfaces from a scientific perspective. Includes instruction in the principles of computational science, computer development and programming, and applications to a variety of end-use situations.","",="11.0701","No substantive changes","",""
"","Computer Software and Media Applications, Other. Any instructional program in computer software and media applications not listed above.","",="11.0899","No substantive changes","",""
"","Computer Software and Media Applications. Instructional content for this group of programs is defined in codes 11.0801 - 11.0899.","",="11.08","No substantive changes","",""
"","Computer Software Engineering. A program that prepares individuals to apply scientific and mathematical principles to the design, analysis, verification, validation, implementation, and maintenance of computer software systems using a variety of computer languages.  Includes instruction in discrete mathematics, probability and statistics, computer science, managerial science, and applications to complex computer systems.","",="14.0903","No substantive changes","",""
"","Computer Software Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills to support engineers in developing, implementing, and evaluating computer software and program applications.  Includes instruction in computer programming,  programming languages, databases, user interfaces, networking and warehousing, encryption and security, software testing and evaluation, and customization.","",="15.1204","No substantive changes","",""
"","Computer Support Specialist. A program that prepares individuals to provide technical assistance, support, and advice to computer users to help troubleshoot software and hardware problems. Includes instruction in computer concepts, information systems, networking, operating systems, computer hardware, the Internet, software applications, help desk concepts and problem solving, and principles of customer service.","",="11.1006","New","",""
"","Computer Systems Analysis. Instructional content is defined in code 11.0501.","",="11.05","No substantive changes","",""
"","Computer Systems Analysis/Analyst. A program that prepares individuals to apply programming and systems analysis principles to the selection, implementation, and troubleshooting of customized computer and software installations across the life cycle.  Includes instruction in computer hardware and software; compilation, composition, execution, and operating systems; low- and high-level languages and language programming; programming and debugging techniques; installation and maintenance testing and documentation; process and data flow analysis; user needs analysis and documentation; cost-benefit analysis; and specification design.","",="11.0501","No substantive changes","",""
"","Computer Systems Networking and Telecommunications. Instructional content is defined in code 11.0901.","",="11.09","No substantive changes","",""
"","Computer Systems Networking and Telecommunications. A program that focuses on the design, implementation, and management of linked systems of computers, peripherals, and associated software to maximize efficiency and productivity, and that prepares individuals to function as network specialists and managers at various levels.  Includes instruction in operating systems and applications; systems design and analysis; networking theory and solutions; types of networks; network management and control; network and flow optimization; security; configuring; and troubleshooting.","",="11.0901","No substantive changes","",""
"","Computer Teacher Education. A program that prepares individuals to teach computer education programs at various educational levels.","",="13.1321","No substantive changes","",""
"","Computer Technology/Computer Systems Technology. A program that prepares individuals to apply basic engineering principles and technical skills in support of professionals who use computer systems.  Includes instruction in basic computer design and architecture, programming, problems of specific computer applications, component and system maintenance and inspection procedures, hardware and software problem diagnosis and repair, and report preparation.","",="15.1202","No substantive changes","",""
"","Computer Typography and Composition Equipment Operator. A program that prepares individuals to apply technical knowledge and skills to design and execute page formats, layouts and text composition, and to make typographical selections using computer graphics and other computer-assisted design programs.","",="10.0308","No substantive changes","",""
"","Computer/Information Technology Administration and Management. Instructional content for this group of programs is defined in codes 11.1001 - 11.1099.","",="11.10","No substantive changes","",""
"","Computer/Information Technology Services Administration andManagement, Other. Any instructional program in computer/information technology services administration and management not listed above.","",="11.1099","No substantive changes","",""
"","Concrete Finishing/Concrete Finisher. A program that prepares individuals to prepare, construct, and finish buildings, components, and related structures using compound masonry mixtures of stone, gravel, sand, cement, and water. Includes instruction in site preparation, applied mathematics, mixing formulas and applications, job estimation, concrete design, finishing techniques, mold preparation, reinforcement installation, site safety, and equipment operation and maintenance.","",="46.0402","No substantive changes","",""
"","Conducting. A program that prepares individuals to master the art of leading bands, choirs, orchestras and other ensembles in performance, and related music leadership.  Includes instruction in score analysis and arranging, rehearsal and performance leadership, music coaching, arrangement and performance planning, ensemble operations management, and applications to specific school or professional ensembles.","",="50.0906","No substantive changes","",""
"","Congenital Cardiac Surgery Residency Program. A residency training program that prepares physicians in the operative treatment of structural abnormalities involving the heart and major blood vessels, including defects resulting from congenital malformations as well as defects acquired in infants and children; includes care of patients from the fetus to the adult. Requires prior completion of a program in thoracic surgery. This CIP code is not valid for IPEDS reporting.","",="60.0510","New","",""
"","Conservation Biology. A program that focuses on the application of the biological sciences to the specific problems of biodiversity, species preservation, ecological sustainability, and habitat fragmentation in the face of advancing human social, economic, and industrial pressures.  Includes instruction in ecology, environmental science, biological systems, extinction theory, human-animal and human-plant interaction, ecosystem science and management, wetland conservation, field biology, forest and wildlife biology, and natural history.","",="26.1307","No substantive changes","",""
"","Construction Engineering Technologies. Instructional content is defined in code 15.1001.","",="15.10","No substantive changes","",""
"","Construction Engineering Technology/Technician. A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers, engineering contractors and other professionals engaged in the construction of buildings and related structures.  Includes instruction in basic structural engineering principles and construction techniques, building site inspection, site supervision, construction personnel supervision, plan and specification interpretation, supply logistics and procurement, applicable building codes, and report preparation.","",="15.1001","No substantive changes","",""
"","Construction Engineering. Instructional content is defined in code 14.3301.","",="14.33","No substantive changes","",""
"","Construction Engineering. A program that prepares individuals to apply scientific, mathematical, and management principles to the planning, design, and building of facilities and structures.  Includes instruction in civil engineering, structural principles, site analysis, computer-assisted design, geology, evaluation and testing, materials, contracting, project management, graphic communications, and applicable laws and regulations.","",="14.3301","No substantive changes","",""
"","Construction Management. Instructional content is defined in code 52.2001.","",="52.20","No substantive changes","",""
"","Construction Management. A program that prepares individuals to manage, coordinate, and supervise the construction process from concept development through project completion on timely and economic bases.  Includes instruction in commercial, residential, mechanical, highway/heavy civil, electrical, environmental, industrial, and specialty construction; facilities management; project planning; budgeting and cost control; logistics and materials management; personnel management and labor relations; site safety; construction contracting; construction processes and techniques; organization and scheduling; and applicable codes and regulations.","",="52.2001","No substantive changes","",""
"","Construction Trades, General. Instructional content is defined in code 46.0000.","",="46.00","No substantive changes","",""
"","Construction Trades, General. A program that generally prepares individuals to apply technical knowledge and skills in the building, inspecting, and maintaining of structures and related properties.  May include instruction in masonry, carpentry, electrical and power transmission installation, building/construction finishing, management, inspection and other construction-related applications.","",="46.0000","No substantive changes","",""
"","Construction Trades, Other. Instructional content is defined in code 46.9999.","",="46.99","No substantive changes","",""
"","Construction Trades, Other. Any instructional program in construction trades not listed above.","",="46.9999","No substantive changes","",""
"","CONSTRUCTION TRADES. Instructional programs that prepare individuals to apply technical knowledge and skills in the building, inspecting, and maintaining of structures and related properties.","",="46","No substantive changes","",""
"","Construction/Heavy Equipment/Earthmoving Equipment Operation. A program that prepares individuals to apply technical knowledge and skills to operate and maintain a variety of heavy equipment, such as a crawler tractors, motor graders and scrapers, shovels, rigging devices, hoists, and jacks.  Includes instruction in digging, ditching, sloping, stripping, grading, and backfiling, clearing and excavating.","",="49.0202","No substantive changes","",""
"","Consumer Economics. A program that focuses on the application of micro- and macro-economic theory to consumer behavior and individual and family consumption of goods and services.  Includes instruction in modeling, economic forecasting, indexing, price theory, and analysis of individual commodities and services and/or groups of related commodities and services.","",="19.0402","No substantive changes","",""
"","Consumer Merchandising/Retailing Management. A program that focuses on product and service promotion from the perspective of individual and family consumers and that prepares individuals to function as consumer management and marketing consultants in for-profit and non-profit enterprises.  Includes instruction in applied market research, consumer behavior, product sourcing and distribution, profitability, customer feedback and evaluation methods, promotion and retailing campaign development, and applications to specific domestic and international consumer markets.","",="19.0203","No substantive changes","",""
"","Consumer Services and Advocacy. A program that focuses on providing end-use advice and representational services to individuals and groups within a variety of settings, and the analytical and research techniques needed to protect consumers from unsafe, unreliable, and/or unhealthy products and services.  Includes instruction in consumer advocacy, family management systems, ecological impacts of consumption practices, and analyzing and testing product quality and safety.","",="19.0403","No substantive changes","",""
"","Cooking and Other Domestic Skills. A program that focuses on the knowledge and skills related to food buying and preparation, home decoration, sewing and other domestic activities, either as hobbies or as routine tasks. This CIP code is not valid for IPEDS reporting.","",="36.0112","No substantive changes","",""
"","Cooking and Related Culinary Arts, General. A program that focuses on the general study of the cooking and related culinary arts, and that may prepare individuals for a variety of jobs within the food service industry.  Includes instruction in food preparation, cooking techniques, equipment operation and maintenance, sanitation and safety, communication skills, applicable regulations, and principles of food service management.","",="12.0500","No substantive changes","",""
"","Corrections Administration. A program that prepares individuals to plan and manage institutional facilities and programs for housing and rehabilitating prisoners in the public and/or private sectors.  Includes instruction in the principles and practice of correction, facilities planning and management, safety and security, social and health services, staff and inmate management, budgeting, communication skills, correctional psychology, and applications to specific types of correctional facilities approaches.","",="43.0113","No substantive changes","",""
"","Corrections and Criminal Justice, Other. Any instructional program in corrections and criminal justice not listed above.","",="43.0199","No substantive changes","",""
"","Corrections. A program that prepares individuals to study the theories and principles, of correctional science and to function as professional corrections officers and other workers in public and/or private incarceration facilities.","",="43.0102","No substantive changes","",""
"","Cosmetology and Related Personal Grooming Arts, Other. Any instructional program in cosmetology and related personal grooming services not listed above.","",="12.0499","No substantive changes","",""
"","Cosmetology and Related Personal Grooming Services. Instructional content for this group of programs is defined in codes 12.0401 - 12.0499.","",="12.04","No substantive changes","",""
"","Cosmetology, Barber/Styling, and Nail Instructor. A program that prepares cosmetologists, barbers, stylists, nail technicians, and other grooming specialists to teach their specializations in licensed and accredited schools of cosmetology and barbering, and to prepare for licensure as instructors.  Includes instruction in cosmetology arts and sciences teaching principles; student learning styles; professional curricula development; instructional planning; instructional methods and aids; student counseling and career assistance; test development; and classroom/clinic management.","",="12.0413","No substantive changes","",""
"","Cosmetology/Cosmetologist, General. A program that generally prepares individuals to cut, trim, and style scalp, facial, and body hair; apply cosmetic preparations; perform manicures and pedicures; massage the head and extremities; and prepare for practice as licensed cosmetologists in specialized or full-service salons.  Includes instruction in hair cutting and styling, manicuring, pedicuring, facial treatments, shampooing, chemical applications, esthetics, shop management, sanitation and safety, customer service, and applicable professional and labor laws and regulations.","",="12.0401","No substantive changes","",""
"","Costume Design. A program that prepares individuals to design and select costumes for characters in theatre and the performing arts and to serve as part of a production team. Includes instruction in costume design, script analysis, theory and criticism, period styles, history of costume, stage makeup, rendering, and costume construction.","",="50.0510","New","",""
"","Counseling Psychology. A program that prepares individuals for the independent professional practice of psychological counseling, involving the rendering of therapeutic services to individuals and groups experiencing psychological problems and exhibiting distress symptoms.  Includes instruction in counseling theory, therapeutic intervention strategies, patient/counselor relationships, testing and assessment methods and procedures, group therapy, marital and family therapy, child and adolescent therapy, supervised counseling practice, ethical standards, and applicable regulations.","",="42.0601","Moved from","",""
"","Counseling Psychology.","",="42.06","Deleted","",""
"","Counseling Psychology. A program that prepares individuals for the independent professional practice of psychological counseling, involving the rendering of therapeutic services to individuals and groups experiencing psychological problems and exhibiting distress symptoms.  Includes instruction in counseling theory, therapeutic intervention strategies, patient/counselor relationships, testing and assessment methods and procedures, group therapy, marital and family therapy, child and adolescent therapy, supervised counseling practice, ethical standards, and applicable regulations.","",="42.2803","Moved to","",""
"","Counselor Education/School Counseling and Guidance Services. A program that prepares individuals to apply the theory and principles of guidance and counseling to the provision of support for the personal, social, educational, and vocational development of students, and the organizing of guidance services within elementary, middle and secondary educational institutions.  Includes instruction in legal and professional requirements, therapeutic counselor intervention, vocational counseling, and related sociological and psychological foundations.","",="13.1101","No substantive changes","",""
"","Court Reporting/Court Reporter. A program that prepares individuals to record and transcribe examinations, testimony, judicial orders and instructions, legal opinions, and other formal proceedings via print or electronic methods.  Includes instruction in legal terminology, legal transcription, shorthand, verbatim recording, equipment operation and procedures, applicable regulations, and professional standards and ethics.","",="22.0303","No substantive changes","",""
"","Crafts/Craft Design, Folk Art and Artisanry. Instructional content is defined in code 50.0201.","",="50.02","No substantive changes","",""
"","Crafts/Craft Design, Folk Art and Artisanry. A program that focuses on the aesthetics, techniques, and creative processes for designing and fashioning objects in one or more of the handcraft or folk art traditions, and that prepares individuals to create in any of these media.","",="50.0201","No substantive changes","",""
"","Creative Writing.","",="23.05","Deleted","",""
"","Creative Writing. A program that focuses on the process and techniques of original composition in various literary forms such as the short story, poetry, the novel, and others.  Includes instruction in technical and editorial skills, criticism, and the marketing of finished manuscripts.","",="23.1302","Moved to","",""
"","Creative Writing. A program that focuses on the process and techniques of original composition in various literary forms such as the short story, poetry, the novel, and others.  Includes instruction in technical and editorial skills, criticism, and the marketing of finished manuscripts.","",="23.0501","Moved from","",""
"","Credit Management. A program that prepares individuals to perform and/or manage operations concerning personal and corporate credit, collateral, loan processing, and related financial agency communications.  Includes instruction in general finance and banking principles, insurance, real estate, taxation, business law and regulations, quantitative methods, financial computer systems applications, database management, communications skills, business and office management, and professional standards and ethics.","",="52.0809","No substantive changes","",""
"","Criminal Justice and Corrections. Instructional content for this group of programs is defined in codes 43.0102 - 43.0199.","",="43.01","No substantive changes","",""
"","Criminal Justice/Law Enforcement Administration. A program that prepares individuals to apply theories and practices of organization management and criminal justice to the administration of public law enforcement agencies and operations.  Includes instruction in law enforcement history and theory, operational command leadership, administration of public police organizations, labor relations, incident response strategies, legal and regulatory responsibilities, budgeting, public relations, and organizational leadership.","",="43.0103","No substantive changes","",""
"","Criminal Justice/Police Science. A program that prepares individuals to perform the duties of police and public security officers, including patrol and investigative activities, traffic control, crowd control and public relations, witness interviewing, evidence collection and management, basic crime prevention methods, weapon and equipment operation and maintenance, report preparation and other routine law enforcement responsibilities.","",="43.0107","No substantive changes","",""
"","Criminal Justice/Safety Studies. A program that focuses on the criminal justice system, its organizational components and processes, and its legal and public policy contexts.  Includes instruction in criminal law and policy, police and correctional systems organization, the administration of justice and the judiciary, and public attitudes regarding criminal justice issues.","",="43.0104","No substantive changes","",""
"","Criminalistics and Criminal Science. A program that focuses on the application of clinical and criminal laboratory science, investigative techniques, and criminology to the reconstruction of crimes and the analysis of physical evidence. Includes instruction in laboratory science, laboratory procedures, criminology and police science, evidentiary testing and analysis, computer applications, record-keeping, reconstruction techniques, evidence handling and storage, and applications to specific types of evidence and crimes.","",="43.0111","No substantive changes","",""
"","Criminology. Instructional content is defined in code 45.0401.","",="45.04","No substantive changes","",""
"","Criminology. A program that focuses on the systematic study of crime as a sociopathological phenomenon, the behavior of criminals, and the social institutions evolved to respond to crime.  Includes instruction in the theory of crime, psychological and social bases of criminal behavior, social value systems and the theory of punishment, criminal law and criminal justice systems, penology, rehabilitation and recidivism, studies of specific types of crime, social attitudes and policy, and applications to specific issues in law enforcement administration and policy.","",="45.0401","No substantive changes","",""
"","Crisis/Emergency/Disaster Management. A program focusing on the application of the incident command system model to formulating and implementing effective response to natural and man-made disasters.  Includes instruction in contingency planning, hazard and risk assessment, joint operations, law and ethics, emergency response and recovery, event mitigation, emergency rescue and medical operations, incident command, terrorism and national security issues, law enforcement, relief administration, volunteer and citizen coordination, public relations and applications to specific types of incidents.","",="43.0302","New","",""
